EEXOOXEEE,-0.786867
OOXXEOEEX,-0.185379
OXXOEXOEE,1
EXEEOEXOE,0.388887
XOXOEOOXX,-1
XEXOOXXOO,-1
OXOXOEEXE,0.305978
OXOEEEXOX,0.64
OEXEEEOEX,-1
EEEOEOXEX,-0.1216
XOEXEEEOE,-0.96
OEXEEEEEE,0.165073
OXEOEOEXX,-1
OXEOEXEEE,0.3191
XEEXOXEOO,0.06272
OXXEOEOEX,-0.672
OOXOEXXEE,-1
OOXOXEEEX,-1
XOEEEEXEO,-0.640051
XEOOOXEEX,0.716744
XOOXEXEOE,-1
XEOOXEXEO,0.716545
EOXEEEEEE,0.129594
OXXEXOOEE,-1
OEEOOXXEX,-0.96
OXXEOOXOX,0.8
EEXOEEEEE,0.113625
XOOOEXXEE,0.116476
EEOEEEEEX,0.252484
XOEEEOXOX,-1
OXEEEEXOE,0.503737
OEOXEOEXX,-0.6976
EEEEOXEXO,0.62909
EOXXOOOXX,0.8
EOOOXXXEE,0.479198
EEXEEEEOE,0.112578
EEXOXEEOE,-0.88192
OOXXEEEEE,0.0623378
OXXXOEOEE,0.752096
OOEOXEEXX,-0.352
OEEXOXXOE,0.799318
EEXEOEEEE,0.607089
XXEEEOOEE,-0.526695
EXOOXEOEX,-1
XOXEEEXOO,-1
XOEEOXXOE,1
EEOEXOXOX,-1
XOEXOXOEE,0.799762
XEEEEOXEO,-1
OXOXEEEXO,-1
OOXXEEOEX,-1
OEEEOEXEX,0.0934087
EEXEEEOEE,-0.0613611
OEXXOXXOO,1
OOEXXOEXE,0.729698
EEXEEEEEO,0.120098
EEOEEEXEE,0.0830529
XOXOXEEOE,-1
OEXXEOEOX,0.64
EEXEEOEEE,0.0698342
EOXEXXOOE,-1
OXOXEEEOX,0.35194
OXEEEOXEE,-0.320416
OOXXXOEXO,-1
OOXOXXOXE,1
OXXOEEEEE,0.600324
OXOXOEEEX,0.472251
OEXOEEEXE,0.200535
OOEXEEXOX,0.504938
XEEOEEOEX,-0.688779
OEEOEEXXE,-0.708348
OXXEOEEEE,0.791766
OXEXXOEOE,0.638895
OXXEEOEEE,0.519251
OXXEEEOEE,0.46561
OEXEEEEOX,-0.712019
XXEOOEOEX,-0.64
EXXEEOOEE,-0.591946
XOEOXXEEO,0.637875
EEOOEXXOX,0.639667
XEEOOEEXE,0.754783
OXXEEEEOE,0.443333
EOEEOXXOX,1
XEXOOEEOX,-1
EEXEOEEOX,-0.64
OXXOOXEXO,1
XOOXOXOXE,1
EOOEXEEXE,0.714968
OXEOOXEXE,0.8
OXXEEEOOX,-0.64
OEEOXXEXO,-0.126482
OXXOXXEOO,-1
OXXEEEEEO,-0.323689
OXOEOXEXE,0.799978
OXEEEEOEX,0.214041
OOXEEXEXO,0.243389
OOXXXOOXE,0.8
XXOOEOEEX,-1
OXOOEEXXE,-1
OXXOOEEEX,-1
EOEXXOXOE,-1
OOXEEEXOX,-1
EEEOEOXXE,-0.471534
OXXOEOEEX,0.5952
EOXOEEEXE,0.0784797
OXEOEEXEE,0.04302
EOXOEEXXO,-0.672
EOOXEXXOE,-1
OEXEEXEOE,-1
OXXOEEOEX,1
XOXOEEOEX,-1
OEEEEXOEX,-0.19328
OXOEOXOXX,1
XEOOXEXOE,-1
