EEXXEOOEX,0.347157
EXEOXXOEE,-0.64
XXEEEEEOE,0.290471
XEEEEEEEE,0.626655
XOEEEEXXO,0.734839
XXOXEOXOE,1
EEEXEEEEE,0.616088
XXEEOEOXE,-0.3264
EXXEEEOEE,0.397114
EXEEEEEEE,0.608623
EXEOEEXEE,0.535535
EOEXXEOXE,0.49581
XXOXOEEXO,-1
OEEXEEXXO,-1
EXEXOEEEE,0.170767
OXEEXOOXX,1
EEEEEEEXE,0.604274
XEEOOXXXO,0.08
OEEEEEXEX,0.790428
XXXEOOOEX,1
EEEEXOXEE,0.629064
EOEXEOXEX,0.770118
OEXEOXEXE,-1
XEXOEXEOE,0.479084
XOEXEEOXE,0.325278
XOEEOEXEX,-1
XEEEEOXEE,0.517354
XXEXOOEOX,0.8
OXXXOOXOX,0.1
EOXOOXXEX,1
EEXOXXEOE,0.410967
XEXEEOOXE,0.394571
XXOOEXEOX,0.40327
EEXEEEEEE,0.619534
XXXOEOXOE,1
XXOEOEEXE,-0.786018
XXOEEOXEE,-1
XXEOOXOEX,-0.64
EEEEXEEEE,0.636697
XEEXEEOEE,0.408815
EXEEEEOEX,0.45128
OEOXXEOXX,-1
EXEXEEOXO,0.0664546
EXEOXXEEO,0.359338
XEOXEOXEE,1
EXEOOXXEE,0.248819
EEXEOXEEE,0.729475
OXXOXEEXO,1
XOXXOOXEE,1
EXEEEOEEX,0.534185
XEXXOOEOX,-0.352
EEXEEOXEE,0.56744
OXOXOXXOX,0.1
OEXEXOXXO,1
XXEOXEXOO,0.228096
OEXXXEEEO,0.8
EEEEEEEEX,0.60938
XXXEOEEEO,1
EEOEXXEEE,0.796249
OXXEOXXOE,-0.64
EEXOEXEEE,0.701644
XXOEXEEOE,-0.00829457
EEEEEXEEE,0.60327
XEXEEOOEX,0.744366
XXXEOEXOO,1
XOXEXEXOO,1
EOXOXEXOX,1
EEEOXEEEX,0.771052
XEOXXXOEO,1
XXEEXOOEE,0.745539
EEEEXXEOE,0.767174
EEEXOXEXO,-0.9024
EEEEEEXEE,0.611158
XEOOEXXEE,0.317089
XXOEEXOEE,-0.548045
XOEXOXEXO,0.199417
OXEEEEXXO,-0.672
XEXXOEEOE,-0.64
XXEEEEOOX,0.779914
EEOXXOXEE,-0.92544
XEOXEXOEE,0.06272
XXOOOEEXX,-1
XEOEXXOEE,0.797088
XXEOXXOEO,-1
XEOEEXOXE,-0.672
XXOOXEEXO,1
OEEXEEXOX,-0.12632
EEXEOXOEX,1
EXXOEOEXE,-0.247859
XXXEEOOEE,1
EEEEEEXXO,0.281462
EXOEEOEXX,0.784517
XEOEEXOEX,-0.352
XEXOOEEEX,-0.64
OEXXEOEXE,0.373467
EXEEXEOEE,0.783473
XOEOXOXEX,1
XOXXXOXOO,1
OXEXXXOEO,1
EXEXXOEEO,-0.231211
OXEEEXOXE,-0.30592
XXOXEXOEO,-1
XXOEXXOEO,-1
XXOEEXOXO,-1
XEOEEXEEE,0.343892
XOXOXEXEO,1
EXXEOEEEE,0.737931
EEEEEOXXE,0.458907
EXOXXEEEO,-1
EEXOEOEXX,-0.64
EOOEXOXXX,1
EOXXXOXEO,1
EOXEXOEXE,0.53103
XXEEEEOEE,0.269325
EEXXEEOEE,0.39275
OXEXXEEOE,0.39422
XEOEXXXOO,0.629137
XOXXOEOXE,0.08
EOXEXXEOE,0.8
XOEOEXEEX,0.740228
EXEEEXOEE,0.200676
EOEEOXXXE,0.686727
EEXOXOEXE,0.738858
XEEEEEOXE,0.588018
XEOOXXXOE,0.225512
EEEOXOEXX,0.732889
EXXEOXEEO,0.217713
